0,1,0.5,1.5,3
1,4,1.0,2.0,2
0,4,2.0,3.0,3
0,10,3.0,4.0,10
1,10,4.0,5.0,15
0,15,5.0,6.0,2
0,4,3.0,4.0,15
0,4,3.5,4.5,7
1,15,4.0,5.0,11
0,4,4.5,5.5,4
1,15,5.0,6.0,2
1,10,5.5,6.5,6
1,4,6.0,7.0,1
1,10,6.5,7.5,12
0,4,7.0,8.0,10
1,15,7.5,8.5,15
1,15,8.0,9.0,12
0,4,8.5,9.5,3
0,15,9.0,10.0,7
0,4,9.5,10.5,7
1,4,10.0,11.0,14
1,10,10.5,11.5,9
1,4,11.0,12.0,2
1,15,11.5,12.5,7
1,4,12.0,13.0,8
0,15,12.5,13.5,14
0,10,13.0,14.0,8
1,10,13.5,14.5,6
1,10,14.0,15.0,4
1,4,14.5,15.5,18
1,10,15.0,16.0,10
1,10,15.5,16.5,16
0,10,16.0,17.0,8
0,4,16.5,17.5,18
0,4,17.0,18.0,13
0,4,17.5,18.5,15
0,4,18.0,19.0,7
0,4,18.5,19.5,12
1,15,19.0,20.0,11
0,4,19.5,20.5,8
0,15,20.0,21.0,1
0,4,20.5,21.5,10
0,10,21.0,22.0,9
1,15,21.5,22.5,9
1,10,22.0,23.0,1
1,15,22.5,23.5,5
0,10,23.0,24.0,3
0,15,23.5,24.5,5
0,10,24.0,25.0,3
0,4,24.5,25.5,14
0,15,25.0,26.0,9
0,15,25.5,26.5,10
1,4,26.0,27.0,19
0,15,26.5,27.5,17
1,4,27.0,28.0,4
1,4,27.5,28.5,7
0,15,28.0,29.0,11
0,4,28.5,29.5,7
0,15,29.0,30.0,2
1,4,29.5,30.5,6
1,10,30.0,31.0,11
1,10,30.5,31.5,7
1,4,31.0,32.0,1
0,15,31.5,32.5,13
0,15,32.0,33.0,7
1,15,32.5,33.5,9
1,4,33.0,34.0,1
0,10,33.5,34.5,12
1,15,34.0,35.0,9
1,4,34.5,35.5,17
1,10,35.0,36.0,7
1,15,35.5,36.5,17
0,4,36.0,37.0,17
0,4,36.5,37.5,2
1,10,37.0,38.0,5
1,4,37.5,38.5,1
0,10,38.0,39.0,2
0,10,38.5,39.5,6
1,15,39.0,40.0,4
0,15,39.5,40.5,17
0,10,40.0,41.0,5
1,10,40.5,41.5,6
1,15,41.0,42.0,16
1,4,41.5,42.5,9
1,15,42.0,43.0,6
1,4,42.5,43.5,3
1,15,43.0,44.0,4
0,10,43.5,44.5,3
0,15,44.0,45.0,7
1,4,44.5,45.5,1
1,15,45.0,46.0,18
1,4,45.5,46.5,11
1,4,46.0,47.0,18
0,15,46.5,47.5,10
0,15,47.0,48.0,16
1,4,47.5,48.5,17
1,4,48.0,49.0,16
1,4,48.5,49.5,5
1,15,49.0,50.0,9
0,15,49.5,50.5,19
1,15,50.0,51.0,1
1,15,50.5,51.5,17
1,10,51.0,52.0,8
1,10,51.5,52.5,3
1,10,52.0,53.0,3
0,4,52.5,53.5,18
1,10,53.0,54.0,18
1,10,53.5,54.5,3
1,4,54.0,55.0,9
1,4,54.5,55.5,4
0,10,55.0,56.0,16
1,15,55.5,56.5,3
0,4,56.0,57.0,16
1,15,56.5,57.5,19
1,15,57.0,58.0,14
1,10,57.5,58.5,6
0,15,58.0,59.0,8
0,15,58.5,59.5,2
0,10,59.0,60.0,1
1,15,59.5,60.5,1
0,4,60.0,61.0,16
0,15,60.5,61.5,17
1,4,61.0,62.0,12
1,10,61.5,62.5,14
0,10,62.0,63.0,3
1,4,62.5,63.5,5
1,4,63.0,64.0,17
1,4,63.5,64.5,3
1,4,64.0,65.0,1
1,15,64.5,65.5,18
0,10,65.0,66.0,3
1,10,65.5,66.5,18
1,15,66.0,67.0,2
0,15,66.5,67.5,10
1,10,67.0,68.0,17
1,4,67.5,68.5,9
0,10,68.0,69.0,16
0,4,68.5,69.5,10
0,10,69.0,70.0,3
1,4,69.5,70.5,13
1,10,70.0,71.0,7
0,4,70.5,71.5,1
1,10,71.0,72.0,16
1,15,71.5,72.5,15
1,10,72.0,73.0,2
1,15,72.5,73.5,19
0,10,73.0,74.0,17
1,10,73.5,74.5,6
0,10,74.0,75.0,11
1,4,74.5,75.5,1
1,4,75.0,76.0,12
1,4,75.5,76.5,7
1,10,76.0,77.0,13
1,10,76.5,77.5,15
0,15,77.0,78.0,8
1,4,77.5,78.5,18
1,10,78.0,79.0,19
0,15,78.5,79.5,19
1,10,79.0,80.0,5
1,4,79.5,80.5,9
1,4,80.0,81.0,1
1,10,80.5,81.5,1
0,10,81.0,82.0,16
0,4,81.5,82.5,1
1,4,82.0,83.0,7
1,15,82.5,83.5,5
1,4,83.0,84.0,3
1,10,83.5,84.5,16
0,4,84.0,85.0,14
1,4,84.5,85.5,15
0,10,85.0,86.0,14
1,4,85.5,86.5,12
1,10,86.0,87.0,16
0,15,86.5,87.5,4
0,10,87.0,88.0,5
0,10,87.5,88.5,10
1,4,88.0,89.0,4
1,15,88.5,89.5,10
1,15,89.0,90.0,1
1,4,89.5,90.5,13
1,15,90.0,91.0,2
0,15,90.5,91.5,12
1,15,91.0,92.0,1
0,4,91.5,92.5,19
0,4,92.0,93.0,12
0,4,92.5,93.5,1
